Denominação Comum Brasileira (DCB),Concentração/Composição,Forma Farmacêutica
Iodeto de potássio,130.0 mg,comprimido
Iodeto de potássio,20 mg/mL,xarope
Sulfato de gentamicina,40 mg/mL,solução injetável
abatacepte,125 mg/mL,solução injetável
abatacepte,250.0 mg,pó para solução para infusão
abciximabe,2 mg/mL,solução injetável
acetato de betametasona + fosfato dissódico de betametasona,3 mg/mL + 3 mg/mL,suspensão injetável
acetato de ciproterona,50.0 mg,comprimido
acetato de desmopressina,"0,1 mg",comprimido
acetato de desmopressina,"0,1 mg/mL",solução spray nasal
acetato de desmopressina,"0,2 mg",comprimido
acetato de desmopressina,15 mcg/mL,solução injetável
acetato de desmopressina,4 mcg/mL,solução injetável
acetato de fludrocortisona,"0,1 mg",comprimido
acetato de glatirâmer,20 mg/mL,solução injetável
acetato de glatirâmer,40 mg/mL,solução injetável
acetato de gosserrelina,"10,8 mg",implante
acetato de gosserrelina,"3,6 mg",implante
acetato de hidrocortisona,10 mg/g (1%),creme
acetato de lanreotida,120.0 mg,solução injetável de liberação prolongada
acetato de lanreotida,60.0 mg,solução injetável de liberação prolongada
acetato de lanreotida,90.0 mg,solução injetável de liberação prolongada
acetato de leuprorrelina,"11,25 mg",pó para suspensão injetável
acetato de leuprorrelina,"3,75 mg",pó para suspensão injetável de liberação prolongada
acetato de leuprorrelina,45.0 mg,pó para suspensão injetável de liberação prolongada
acetato de medroxiprogesterona,10.0 mg,comprimido
acetato de medroxiprogesterona,150 mg/mL,suspensão injetável
acetato de medroxiprogesterona,50 mg/mL,suspensão injetável
acetato de medroxiprogesterona + cipionato de estradiol,"25 mg/0,5 mL + 5 mg/ 0,5 mL",suspensão injetável
acetato de medroxiprogesterona + cipionato de estradiol,"25 mg/0,5 mL + 5 mg/0,5 mL",suspensão injetável
acetato de octreotida,"0,1 mg/mL",solução injetável
acetato de octreotida,10.0 mg,pó para suspensão injetável
acetato de octreotida,20.0 mg,pó para suspensão injetável
acetato de octreotida,30.0 mg,pó para suspensão injetável
acetato de sódio,2 mEq/mL,solução injetável
acetazolamida,250.0 mg,comprimido
aciclovir,200.0 mg,comprimido
aciclovir,250.0 mg,pó para solução injetável
aciclovir,50 mg/g (5%),creme
acitretina,10.0 mg,cápsula
acitretina,25.0 mg,cápsula
adalimumabe,40.0 mg,solução injetável
agulha para caneta aplicadora de insulina,-,-
albendazol,40 mg/mL,suspensão oral
albendazol,400.0 mg,comprimido mastigável
albumina humana,"0,2 g/mL (20%)",solução injetável
alcachofra (Cynara scolymus L.),24 a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária),comprimido
alcachofra (Cynara scolymus L.),24 a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária),cápsula
alcachofra (Cynara scolymus L.),24 a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária),solução oral
alcachofra (Cynara scolymus L.),24 a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária),tintura
alcatrão mineral (FN),10 mg/g (1%),pomada
alendronato de sódio,10.0 mg,comprimido
alendronato de sódio,70.0 mg,comprimido
alentuzumabe,10 mg/mL,solução para diluição para infusão
alfa-agalsidase,1 mg/mL,solução injetável
alfa-alglicosidade,50.0 mg,pó para solução injetável
alfa-alglicosidase,50.0 mg,pó para solução injetável
alfacerliponase,30 mg/mL,solução para infusão
alfadornase,1 mg/mL,solução inalatória
alfadornase,1 mg/mL,solução para inalação
alfaelosulfase,5.0 mg,solução injetável
alfaepoetina,1.0 UI,pó liófilo para solução injetável
alfaepoetina,1.0 UI,pó para solução injetável
alfaepoetina,1.0 UI,solução injetável
alfaepoetina,10.0 UI,pó liófilo para solução injetável
alfaepoetina,10.0 UI,pó para solução injetável
alfaepoetina,10.0 UI,solução injetável
alfaepoetina,2.0 UI,pó liófilo para solução injetável
alfaepoetina,2.0 UI,pó para solução injetável
alfaepoetina,2.0 UI,solução injetável
alfaepoetina,3.0 UI,pó liófilo para solução injetável
alfaepoetina,3.0 UI,pó para solução injetável
alfaepoetina,3.0 UI,solução injetável
alfaepoetina,4.0 UI,pó liófilo para solução injetável
alfaepoetina,4.0 UI,pó para solução injetável
alfaepoetina,4.0 UI,solução injetável
alfagalsidase,1 mg/mL,solução injetável
alfainterferona 2b,10.000.000 UI,pó para solução injetável
alfainterferona 2b,3.000.000 UI,pó para solução injetável
alfainterferona 2b,5.000.000 UI,pó para solução injetável
alfapeginterferona 2a,180.0 mcg,solução injetável
alfapeginterferona 2b,"118,4 mcg (80 mcg/0,5 mL após reconstituição)",pó para solução injetável
alfapeginterferona 2b,"118,4 microgramas (80 microgramas/ 0,5 mL após reconstituição)",pó para solução injetável
alfapeginterferona 2b,"148 mcg (100 mcg/0,5 mL após reconstituição)",pó para solução injetável
alfapeginterferona 2b,"148 microgramas (100 microgramas/ 0,5 mL após reconstituição)",pó para solução injetável
